! Earth Orientation Predictions (in TCC format)
     
! UTC   UTC-TAI   UT1-TAI     dX       dY
! days    sec       sec     arcsec   arcsec
 56996    -35   -35.42837   0.0730   0.2603
 56997    -35   -35.42940   0.0712   0.2607
 56998    -35   -35.43033   0.0694   0.2611
 56999    -35   -35.43120   0.0677   0.2616
 57000    -35   -35.43205   0.0659   0.2622
 57001    -35   -35.43290   0.0642   0.2627
 57002    -35   -35.43379   0.0625   0.2633
 57003    -35   -35.43472   0.0608   0.2637
 57004    -35   -35.43573   0.0590   0.2642
 57005    -35   -35.43680   0.0574   0.2647
 57006    -35   -35.43791   0.0558   0.2653
 57007    -35   -35.43905   0.0542   0.2659
 57008    -35   -35.44017   0.0526   0.2666
 57009    -35   -35.44123   0.0510   0.2674
 57010    -35   -35.44221   0.0494   0.2681
 57011    -35   -35.44311   0.0478   0.2689
 57012    -35   -35.44394   0.0462   0.2696
 57013    -35   -35.44476   0.0447   0.2704
 57014    -35   -35.44562   0.0431   0.2712
 57015    -35   -35.44657   0.0416   0.2721
 57016    -35   -35.44764   0.0400   0.2729
 57017    -35   -35.44884   0.0385   0.2738
 57018    -35   -35.45012   0.0370   0.2747
 57019    -35   -35.45143   0.0355   0.2756
 57020    -35   -35.45270   0.0341   0.2765
 57021    -35   -35.45388   0.0326   0.2775
 57022    -35   -35.45492   0.0312   0.2785
 57023    -35   -35.45581   0.0298   0.2795
 57024    -35   -35.45657   0.0284   0.2805
 57025    -35   -35.45721   0.0270   0.2816
 57026    -35   -35.45777   0.0256   0.2827
 57027    -35   -35.45832   0.0243   0.2838
 57028    -35   -35.45888   0.0230   0.2849
 57029    -35   -35.45950   0.0216   0.2860
 57030    -35   -35.46018   0.0204   0.2872
 57031    -35   -35.46094   0.0191   0.2884
 57032    -35   -35.46176   0.0179   0.2896
 57033    -35   -35.46263   0.0166   0.2908
 57034    -35   -35.46353   0.0154   0.2921
 57035    -35   -35.46443   0.0143   0.2934
 57036    -35   -35.46532   0.0131   0.2946
 57037    -35   -35.46616   0.0120   0.2960
 57038    -35   -35.46696   0.0109   0.2973
 57039    -35   -35.46772   0.0098   0.2986
 57040    -35   -35.46846   0.0087   0.3000
 57041    -35   -35.46924   0.0077   0.3014
 57042    -35   -35.47010   0.0067   0.3028
 57043    -35   -35.47111   0.0057   0.3042
 57044    -35   -35.47229   0.0048   0.3057
 57045    -35   -35.47361   0.0038   0.3072
 57046    -35   -35.47503   0.0029   0.3086
 57047    -35   -35.47644   0.0021   0.3101
 57048    -35   -35.47777   0.0012   0.3116
 57049    -35   -35.47895   0.0004   0.3132
 57050    -35   -35.47998  -0.0004   0.3147
 57051    -35   -35.48087  -0.0012   0.3163
 57052    -35   -35.48164  -0.0019   0.3179
 57053    -35   -35.48235  -0.0026   0.3194
 57054    -35   -35.48303  -0.0033   0.3210
 57055    -35   -35.48372  -0.0039   0.3227
 57056    -35   -35.48447  -0.0045   0.3243
 57057    -35   -35.48529  -0.0051   0.3259
 57058    -35   -35.48618  -0.0057   0.3276
 57059    -35   -35.48715  -0.0062   0.3292
 57060    -35   -35.48819  -0.0067   0.3309
 57061    -35   -35.48928  -0.0072   0.3326
 57062    -35   -35.49039  -0.0076   0.3343
 57063    -35   -35.49149  -0.0080   0.3360
 57064    -35   -35.49257  -0.0084   0.3377
 57065    -35   -35.49361  -0.0087   0.3394
 57066    -35   -35.49461  -0.0090   0.3412
 57067    -35   -35.49559  -0.0093   0.3429
 57068    -35   -35.49661  -0.0095   0.3447
 57069    -35   -35.49771  -0.0097   0.3464
 57070    -35   -35.49896  -0.0099   0.3482
 57071    -35   -35.50040  -0.0100   0.3499
 57072    -35   -35.50205  -0.0101   0.3517
 57073    -35   -35.50384  -0.0102   0.3535
 57074    -35   -35.50570  -0.0102   0.3553
 57075    -35   -35.50753  -0.0103   0.3570
 57076    -35   -35.50923  -0.0102   0.3588
 57077    -35   -35.51078  -0.0102   0.3606
 57078    -35   -35.51217  -0.0101   0.3624
 57079    -35   -35.51342  -0.0099   0.3642
 57080    -35   -35.51458  -0.0098   0.3660
 57081    -35   -35.51569  -0.0096   0.3678
 57082    -35   -35.51681  -0.0094   0.3696
 57083    -35   -35.51796  -0.0091   0.3714
 57084    -35   -35.51918  -0.0088   0.3732
 57085    -35   -35.52048  -0.0085   0.3750
 57086    -35   -35.52187  -0.0081   0.3767
 57087    -35   -35.52332  -0.0077   0.3785
 57088    -35   -35.52483  -0.0073   0.3803
 57089    -35   -35.52636  -0.0068   0.3821
 57090    -35   -35.52789  -0.0063   0.3839
 57091    -35   -35.52939  -0.0058   0.3856
 57092    -35   -35.53086  -0.0052   0.3874
 57093    -35   -35.53227  -0.0046   0.3892
 57094    -35   -35.53366  -0.0040   0.3909
 57095    -35   -35.53505  -0.0033   0.3926
 57096    -35   -35.53648  -0.0026   0.3944
 57097    -35   -35.53803  -0.0019   0.3961
 57098    -35   -35.53974  -0.0011   0.3978
 57099    -35   -35.54163  -0.0003   0.3995
 57100    -35   -35.54371   0.0005   0.4012
 57101    -35   -35.54591   0.0014   0.4029
 57102    -35   -35.54813   0.0023   0.4046
 57103    -35   -35.55028   0.0032   0.4063
 57104    -35   -35.55220   0.0041   0.4079
 57105    -35   -35.55393   0.0051   0.4096
 57106    -35   -35.55549   0.0062   0.4112
 57107    -35   -35.55691   0.0072   0.4128
 57108    -35   -35.55825   0.0083   0.4144
 57109    -35   -35.55956   0.0094   0.4160
 57110    -35   -35.56088   0.0106   0.4176
 57111    -35   -35.56223   0.0117   0.4192
 57112    -35   -35.56364   0.0129   0.4207
 57113    -35   -35.56512   0.0142   0.4222
 57114    -35   -35.56666   0.0154   0.4238
 57115    -35   -35.56823   0.0167   0.4252
